,SK_ID_CURR,DAYS_BIRTH,DAYS_EMPLOYED,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Highereducation,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,DAYS_EMPLOYED_PERC,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_CODE_REJECT_REASON_XAP_MEAN
307521,100074,-23670,-1758.0,3,3,0.5068562993052422,0.6600149063064604,0.2985949897873972,0,0,1,0.1310344827586207,-2071.0,-1469.3333333333333,-1021.0,0.0,1.0,1.0,0.0,0.0,1.0
307596,100677,-14806,-620.0,2,2,0.3704846019130429,0.6507498898246993,0.2091546988410069,0,0,1,0.0418749155747669,-1321.0,-447.4285714285714,-143.14285714285714,0.8571428571428571,0.1428571428571428,1.0,0.0,0.0,1.0
307632,100982,-8699,-1334.0,2,2,0.1791486534897605,0.5081140442030012,0.4650692149562261,1,0,1,0.153350959880446,-224.0,-224.0,-163.0,1.0,0.0,1.0,0.0,0.0,1.0
307703,101332,-21514,-1758.0,2,2,0.5068562993052422,0.5269057957577571,0.5316861425197883,0,0,1,0.1310344827586207,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.75,0.0,0.0,1.0
307715,101366,-18836,-1714.0,3,3,0.6485997623492777,0.3716301173096265,0.5316861425197883,0,0,1,0.0909959651730728,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
307742,101570,-15126,-354.0,2,2,0.6608461773238364,0.5032929070729277,0.7662336700704004,1,0,1,0.0234034113447044,-2919.0,-1710.3333333333333,-397.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0
307782,101867,-14883,-2292.0,3,3,0.4768399951410392,0.6327085715722629,0.5316861425197883,1,0,1,0.1540012094335819,-258.0,-258.0,-9.0,1.0,0.0,1.0,0.0,0.0,1.0
307804,102029,-16965,-3162.0,2,2,0.5068562993052422,0.7610536087385463,0.7981372313187245,0,0,1,0.1863837312113174,-1824.0,-1170.5,-835.5,0.0,1.0,0.8,0.0,0.0,1.0
307860,102393,-12104,-2502.0,2,2,0.5114833253956284,0.5120977618832915,0.5316861425197883,0,0,1,0.206708526107072,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
307902,102701,-8199,-245.0,2,2,0.5068562993052422,0.6871068831929256,0.746300213050371,1,0,1,0.0298816928893767,-1060.0,-1060.0,-752.0,0.0,1.0,1.0,0.0,0.0,1.0
307918,102863,-18610,-4647.0,3,2,0.5068562993052422,0.5694872649671822,0.6971469077844458,1,0,1,0.2497044599677592,-1848.0,-1463.0,-406.0,0.5,0.5,1.0,0.0,0.0,1.0
307933,102971,-19964,-1637.0,2,2,0.7061169808812817,0.6095465233234576,0.746300213050371,0,1,0,0.0819975956722099,-2140.0,-1793.3333333333333,-631.0,0.6666666666666666,0.3333333333333333,0.75,0.0,0.0,1.0
307951,103083,-17480,-4599.0,1,1,0.5068562993052422,0.7392142283477329,0.6785676886853644,0,1,0,0.2631006864988558,-1316.0,-1158.0,-302.0,0.6666666666666666,0.3333333333333333,0.8,0.0,0.0,0.8
